counter,true_positive,false_positive,true_negative,false_negative,file_count,hexsha
824,295,72,1966,465,2798,c96f11257baf43188ff9daeddab3221992925c85
825,295,72,1966,466,2799,ed514caed20995814712fd6c9e9c4120b4ac64be
827,295,72,1966,466,2799,59c3a140eb41e0f186adf9b57029bd67beb8016a
828,295,72,1966,466,2799,48af591b2dd1f4c6b87558698f311dd7fe6dbbc0
830,295,72,1966,466,2799,c52822e7501e8478abf99465d8c9f3102dde618a
832,295,72,1966,466,2799,1fed8dd715cc734f51c162d4362d34d357925bc4
833,295,72,1966,466,2799,1ef4aeab403f7fb74c0b9b11fde854fd03afc40c
834,295,72,1966,466,2799,2f6bdab1597ee42b36752bf9f624d3386e951379
837,296,72,1967,469,2804,f8cc464452f495fce2a3d6f7494396c8f798a1e6
838,296,72,1967,473,2808,e25ba6e8bb6054a2c5592ade12ec6fe095ba75d1
845,296,72,1967,473,2808,efc144aba064510abc0fdd25ec3deaa3e6f27427
848,296,72,1967,473,2808,19fcf083d364d734a52ccab0ad51143445be7b7b
852,296,72,1967,473,2808,baa732ac9f18b6ed0ca386c632e15c9fb3037e39
853,296,72,1967,473,2808,d7848c11e008ddeb036a95d389caa3b2c97b795e
854,296,72,1967,473,2808,f5e9d67907510881c7f132d0a80e39f47caea5f6
855,296,72,1967,473,2808,774c16d16ed67d7cf12bc2b2752768b544bdb363
856,299,69,1967,474,2809,1da170a203819ffda7764e53e3c268b8fc2ab452
859,300,68,1967,474,2809,927b30a6ab33ea33e5e3b1e7408ac1d5d267ff6a
860,300,68,1966,475,2809,8a5eadd140a5f06d24e1c5bc0c444ce11be0769a
861,301,68,1964,478,2811,04e69598de75550a9227bfac353ff5606b6cbe43
862,301,68,1964,478,2811,b60375d4bbb848af7950379e2f35a1a65f7a2591
863,301,68,1964,479,2812,5cedef9b503c127283bba0bf68d5728f094bba4a
865,301,68,1964,479,2812,5281f8b635f10b2839dc146d7e44f7d94d1955d8
867,301,68,1964,479,2812,8eeb566aca33600d272dee5fba59c3445b5b8163
874,301,68,1964,480,2813,e063ac2fae007a2eecaeab5ce17064c31230ce29
876,301,68,1964,480,2813,c296e55dc6a697c7e4d4be92b954633cda4a79b1
877,301,68,1963,481,2813,600fb7c51b22bc0d9138f580bb5e5abcfedc76ee
879,301,68,1963,482,2814,44dc201cb697d264d244abede3ee10a30a387d7a
880,301,68,1963,482,2814,c6da621def9bc04a5feacd5652c7f9d84f48ad2c
881,301,68,1963,482,2814,217f173be025d2cce6484c760ea6ec77436f26a1
883,302,68,1963,482,2815,199a02d1e2adef39b6346a254b097c9ac64a9ec4
884,302,68,1963,482,2815,6024fd5dc2022f3724ea6440c319440d457a7366
885,302,68,1963,483,2816,bc7923beffea3c51271935cad1371a67c5fcc71b
886,302,68,1963,483,2816,29465d438e00660221e1e0ac5e2929a719c56113
887,304,68,1960,492,2824,87d55081ea398c65b2503d22ed3907a9175ec729
888,309,68,1959,588,2924,c2e70f02653519db3a49cd48f5158ccad7434d25
